name	fold	validation_bucket_avg_return	validation_bucket_hit_rate	test_bucket_avg_return	test_bucket_hit_rate	validation_avg_return	test_avg_return	validation_corr	test_corr
distance_to_252_high	fold_1	0.08268741911661301	0.7545454545454545	0.059474712732734226	0.8545454545454545	0.052912921558571954	0.0411006721905892	-0.2473158134990936	-0.0691239729099875
distance_to_252_high	fold_2	0.048596038142196235	0.8181818181818182	0.1648802367277885	0.9545454545454546	0.0411006721905892	0.05846987770355613	-0.0008491079475091147	-0.519449387013022
distance_to_252_high	fold_3	0.16815853921534504	0.9545454545454546	0.022686584986322478	0.6272727272727273	0.05846987770355613	0.026511534764374133	-0.5253502601945795	0.034328535055517556
distance_plus_atr_pct_20	fold_1	0.057821768845786006	0.7	0.059868255016869674	0.8818181818181818	0.052912921558571954	0.0411006721905892	-0.1971413261751645	-0.0880065015699605
distance_plus_atr_pct_20	fold_2	0.05471178613115727	0.9	0.15991669819818877	0.9454545454545454	0.0411006721905892	0.05846987770355613	-0.046168784486332715	-0.5424397504673915
distance_plus_atr_pct_20	fold_3	0.16258203484622308	0.9545454545454546	0.01530507571262679	0.5727272727272728	0.05846987770355613	0.026511534764374133	-0.5524068286919318	0.0642246936189708
distance_plus_drawdown_60	fold_1	0.134093579185256	0.9	0.05233328365054502	0.7909090909090909	0.052912921558571954	0.0411006721905892	-0.4265017949701522	-0.05126283309097754
distance_plus_drawdown_60	fold_2	0.043095961233816336	0.7727272727272727	0.16014640582556317	0.9454545454545454	0.0411006721905892	0.05846987770355613	0.003934910194666138	-0.504926431915007
distance_plus_drawdown_60	fold_3	0.1633315771248671	0.9545454545454546	0.01337037466991398	0.6272727272727273	0.05846987770355613	0.026511534764374133	-0.5112555490036629	0.02448106960066396
distance_plus_above_200dma	fold_1	0.07317158310441818	0.7545454545454545	0.06853374681406206	0.9545454545454546	0.052912921558571954	0.0411006721905892	-0.2402825901927964	-0.11292911211363577
distance_plus_above_200dma	fold_2	0.05445019534561171	0.8727272727272727	0.16126216219727213	0.9363636363636364	0.0411006721905892	0.05846987770355613	-0.041685547358182626	-0.5119324311299274
distance_plus_above_200dma	fold_3	0.167738590893816	0.9545454545454546	0.008588006471937474	0.5636363636363636	0.05846987770355613	0.026511534764374133	-0.521872326328112	0.05641365905430221
distance_plus_atr_plus_drawdown	fold_1	0.12008116992995121	0.8545454545454545	0.056599933951404946	0.8363636363636363	0.052912921558571954	0.0411006721905892	-0.40580448167652505	-0.07630213791012523
distance_plus_atr_plus_drawdown	fold_2	0.05118324711005872	0.8545454545454545	0.14675857341602302	0.9363636363636364	0.0411006721905892	0.05846987770355613	-0.043135492582028166	-0.5226293696919786
distance_plus_atr_plus_drawdown	fold_3	0.15246116736478604	0.9454545454545454	0.004124563931690633	0.5181818181818182	0.05846987770355613	0.026511534764374133	-0.5348024243591872	0.050559706429929255
