name	extras	rows	validation_corr	test_corr	validation_bottom10_avg_return	test_bottom10_avg_return	validation_bottom10_hit_rate	test_bottom10_hit_rate	validation_top10_avg_return	test_top10_avg_return	sign_match_bottom
distance_plus_atr_pct_20	distance_to_252_high, atr_pct_20	6553	-0.41565162723361815	-0.12255046394876781	0.14514167152338014	0.07741370132002237	0.8585858585858586	0.797979797979798	0.009639959615882755	0.06224841340533287	True
distance_plus_atr_plus_drawdown	distance_to_252_high, atr_pct_20, drawdown_60	6553	-0.4300933890800315	-0.11747785662865341	0.1472584281378867	0.06624662041254928	0.8686868686868687	0.7676767676767676	0.008633681424358549	0.04999814363903285	True
distance_to_252_high	distance_to_252_high	6553	-0.40509868028186713	-0.10467617624378077	0.1638567617408503	0.06125927099834647	0.9090909090909091	0.7676767676767676	0.0021650878613484834	0.05115802758396789	True
distance_plus_drawdown_60	distance_to_252_high, drawdown_60	6553	-0.40832044538568424	-0.10005267485729966	0.15956600564430418	0.052521249097481085	0.898989898989899	0.7777777777777778	0.012031453137189384	0.04228897151591985	True
distance_plus_above_200dma	distance_to_252_high, above_200dma_flag	6553	-0.3791833184686943	-0.08580439200541731	0.14021625569761498	0.054343828559020445	0.8282828282828283	0.7272727272727273	0.007013218467640223	0.05602500238949101	False
