date	close	predicted_return	future_return_60	prediction_percentile	bucket_direction	bucket_pct	bucket_cutoff	selected
2021-04-13 13:30:00	340.6000061035156	0.035808860161745726	0.05334698351307132	0.7137254901960784	bottom	15.0	0.012903822289484192	False
2021-04-14 13:30:00	336.510009765625	0.029417859270790145	0.07280615520787603	0.45441176470588235	bottom	15.0	0.012903822289484192	False
2021-04-15 13:30:00	341.6099853515625	0.03051708872830805	0.06091750525019224	0.5009803921568627	bottom	15.0	0.012903822289484192	False
2021-04-16 13:30:00	342.010009765625	0.03639176791025735	0.05967662664638418	0.7328431372549019	bottom	15.0	0.012903822289484192	False
2021-04-19 13:30:00	338.8800048828125	0.03651859817243243	0.07138220636467296	0.7377450980392157	bottom	15.0	0.012903822289484192	False
2021-04-20 13:30:00	336.4100036621094	0.030991326102961944	0.071668455423753	0.5225490196078432	bottom	15.0	0.012903822289484192	False
2021-04-21 13:30:00	339.2900085449219	0.030951861831132133	0.0539656255635641	0.5210784313725491	bottom	15.0	0.012903822289484192	False
2021-04-22 13:30:00	335.20001220703125	0.03388829026733106	0.05808472706342793	0.640686274509804	bottom	15.0	0.012903822289484192	False
2021-04-23 13:30:00	339.4200134277344	0.032590059430054885	0.057067922782672253	0.5872549019607843	bottom	15.0	0.012903822289484192	False
2021-04-26 13:30:00	341.6300048828125	0.028430048238747785	0.05833794570420636	0.4196078431372549	bottom	15.0	0.012903822289484192	False
2021-04-27 13:30:00	340.1499938964844	0.030929484720517944	0.06996918635191807	0.5200980392156863	bottom	15.0	0.012903822289484192	False
2021-04-28 13:30:00	339.0	0.03338245275338554	0.08613572922428103	0.6235294117647059	bottom	15.0	0.012903822289484192	False
2021-04-29 13:30:00	340.2200012207031	0.03193015032982115	0.08309325998542016	0.5588235294117647	bottom	15.0	0.012903822289484192	False
2021-04-30 13:30:00	337.989990234375	0.03556739934118853	0.07822717596776108	0.7044117647058824	bottom	15.0	0.012903822289484192	False
2021-05-03 13:30:00	336.19000244140625	0.03505955754474379	0.08816438298466434	0.6867647058823529	bottom	15.0	0.012903822289484192	False
2021-05-04 13:30:00	330.1400146484375	0.038642196808542945	0.11007449786596957	0.7946078431372549	bottom	15.0	0.012903822289484192	False
2021-05-05 13:30:00	329.0299987792969	0.045754227468339514	0.10801449313672173	0.9401960784313725	bottom	15.0	0.012903822289484192	False
2021-05-06 13:30:00	331.510009765625	0.04294790509578898	0.09981597949722532	0.8985294117647059	bottom	15.0	0.012903822289484192	False
2021-05-07 13:30:00	334.20001220703125	0.042215082450496155	0.09757625422036531	0.8833333333333333	bottom	15.0	0.012903822289484192	False
2021-05-10 13:30:00	325.760009765625	0.03915576086448125	0.12763993530753281	0.8147058823529412	bottom	15.0	0.012903822289484192	False
2021-05-11 13:30:00	325.3099975585937	0.044595850190141104	0.13636228889999202	0.9254901960784314	bottom	15.0	0.012903822289484192	False
2021-05-12 13:30:00	316.8900146484375	0.048844086181508595	0.16144394199763257	0.9705882352941176	bottom	15.0	0.012903822289484192	False
2021-05-13 13:30:00	319.3399963378906	0.0434894161267501	0.15466278954978874	0.9093137254901961	bottom	15.0	0.012903822289484192	False
2021-05-14 13:30:00	326.3900146484375	0.02305348990143763	0.12393143133690154	0.29215686274509806	bottom	15.0	0.012903822289484192	False
2021-05-17 13:30:00	324.4100036621094	0.02264058998969594	0.12884925656147672	0.2852941176470588	bottom	15.0	0.012903822289484192	False
2021-05-18 13:30:00	322.2200012207031	0.02376993321430404	0.14061820305052652	0.3088235294117647	bottom	15.0	0.012903822289484192	False
2021-05-19 13:30:00	322.5899963378906	0.028898240384441158	0.143308879727025	0.43480392156862746	bottom	15.0	0.012903822289484192	False
2021-05-20 13:30:00	328.8299865722656	0.022214493095089355	0.12209964435600185	0.275	bottom	15.0	0.012903822289484192	False
2021-05-21 13:30:00	327.010009765625	0.021838143937222804	0.11840616514599844	0.2691176470588235	bottom	15.0	0.012903822289484192	False
2021-05-24 13:30:00	332.510009765625	0.012526752044714262	0.08932056424523172	0.1465686274509804	bottom	15.0	0.012903822289484192	True
2021-05-25 13:30:00	332.9700012207031	0.015091956498502401	0.09307141820813425	0.17205882352941176	bottom	15.0	0.012903822289484192	False
2021-05-26 13:30:00	334.1300048828125	0.03287285481031052	0.10055967920420672	0.5995098039215686	bottom	15.0	0.012903822289484192	False
2021-05-27 13:30:00	332.8800048828125	0.029551019735480563	0.12121486875644716	0.46176470588235297	bottom	15.0	0.012903822289484192	False
