fold	train_rows	validation_rows	test_rows	validation_corr	test_corr	validation_bucket_avg_return	validation_bucket_hit_rate	test_bucket_avg_return	test_bucket_hit_rate	validation_avg_return	test_avg_return	direction	bucket_pct
fold_1	2184	1092	1092	-0.2473158134990936	-0.0691239729099875	0.08268741911661301	0.7545454545454545	0.059474712732734226	0.8545454545454545	0.052912921558571954	0.0411006721905892	bottom	10.0
fold_2	3276	1092	1092	-0.0008491079475091147	-0.519449387013022	0.048596038142196235	0.8181818181818182	0.1648802367277885	0.9545454545454546	0.0411006721905892	0.05846987770355613	bottom	10.0
fold_3	4368	1092	1092	-0.5253502601945795	0.034328535055517556	0.16815853921534504	0.9545454545454546	0.022686584986322478	0.6272727272727273	0.05846987770355613	0.026511534764374133	bottom	10.0
