date	close	future_return_20	future_return_60	live_probability	live_cutoff	live_gap	live_signal	shadow_probability	shadow_cutoff	shadow_gap	shadow_signal	gap_spread	above_200dma	slope_60_positive	bullish_pocket_label	ret_60	distance_from_60d_low	vol_ratio_20_120
2009-05-19	4.849999904632568	0.09278356596924242	0.6391752506369217	0.556472	0.542609	0.013864	weak_bullish	0.503487	0.50658	-0.003093	no_entry	0.016957	True	True	above_200dma_and_slope_60_positive	0.7259786488946116	0.9019607824804414	0.7151586598052709
2011-10-03	4.329999923706055	0.29099312958033474	0.42494230600656246	0.542821	0.542609	0.000212	weak_bullish	0.499752	0.50658	-0.006828	no_entry	0.00704	False	False	outside_bullish_pocket	-0.4361979139988154	0.0023147573257693	1.3245620607920645
2011-11-15	5.460000038146973	-0.001831543738455732	0.48168499927950426	0.544047	0.542609	0.001438	weak_bullish	0.505871	0.50658	-0.000709	no_entry	0.002147	False	True	outside_bullish_pocket	0.0380227757723221	0.3753148611584127	0.8959959319149231
2011-11-23	5.710000038146973	0.1225919097353112	0.5464097836629076	0.590267	0.542609	0.047658	weak_bullish	0.503713	0.50658	-0.002867	no_entry	0.050525	False	False	outside_bullish_pocket	-0.0403360972792712	0.4382871528960319	1.3560576255093992
2011-11-29	5.639999866485596	0.09397167063030509	0.5195035279609623	0.591634	0.542609	0.049025	weak_bullish	0.506576	0.50658	-4e-06	no_entry	0.049028999999999996	False	True	outside_bullish_pocket	0.0254545211791992	0.4206548679698574	1.3338616437882254
2016-06-27	12.229999542236328	0.12919059170230018	0.406377874630266	0.542647	0.542609	3.8e-05	weak_bullish	0.502144	0.50658	-0.004436	no_entry	0.004474	False	True	outside_bullish_pocket	0.1087941829842535	0.3080212880498187	1.002954464258692
2016-06-29	13.1899995803833	0.028051618726635752	0.3396512993505687	0.550753	0.542609	0.008144	weak_bullish	0.504308	0.50658	-0.002272	no_entry	0.010416	True	True	above_200dma_and_slope_60_positive	0.2682692369413095	0.4106950847321746	1.038973979993982
2016-07-01	12.5	0.08080001831054684	0.4480000305175782	0.546352	0.542609	0.003743	weak_bullish	0.502438	0.50658	-0.004142	no_entry	0.007885	False	True	outside_bullish_pocket	0.1893434564967542	0.3368983411779418	1.1832870774448137
2016-07-05	11.90999984741211	0.17800167193282812	0.5314861464991103	0.552096	0.542609	0.009487	weak_bullish	0.501937	0.50658	-0.004643	no_entry	0.01413	False	True	outside_bullish_pocket	0.1110074207780897	0.2737967231547831	1.2072545982983636
2025-11-07	237.9199981689453	0.037827841582317		0.611892	0.542609	0.069283	weak_bullish	0.505604	0.50658	-0.000976	no_entry	0.070259	True	True	above_200dma_and_slope_60_positive	0.8989543972416045	1.0969504679072872	1.2632650144471738
2025-11-13	236.9499969482422	0.017683066028152394		0.619898	0.542609	0.077289	weak_bullish	0.504069	0.50658	-0.002511	no_entry	0.0798	True	True	above_200dma_and_slope_60_positive	1.0215851787309846	1.073960585980238	1.2736297892691868
2025-11-20	201.3699951171875	0.3205543024072772		0.629482	0.542609	0.086873	bullish	0.503564	0.50658	-0.003016	no_entry	0.08988900000000001	True	True	above_200dma_and_slope_60_positive	0.7101485784899151	0.7625382504786653	1.4721289136858564
2025-11-21	207.3699951171875	0.3337995025827434		0.596415	0.542609	0.053806	weak_bullish	0.504798	0.50658	-0.001781	no_entry	0.055587	True	True	above_200dma_and_slope_60_positive	0.6997540583376025	0.815054661857221	1.4304118261137295
2025-11-25	224.52999877929688	0.27680040188115385		0.58664	0.542609	0.044031	weak_bullish	0.505148	0.50658	-0.001431	no_entry	0.045462	True	True	above_200dma_and_slope_60_positive	0.8950877145308345	0.9141516874490154	1.5057521987359015
2025-11-28	236.47999572753903	0.23744084138079402		0.56975	0.542609	0.027141	weak_bullish	0.504098	0.50658	-0.002481	no_entry	0.029622	True	True	above_200dma_and_slope_60_positive	0.9038724536718972	0.8819034604154286	1.512520528187598
2025-12-01	240.4600067138672	0.4383680672884278		0.569473	0.542609	0.026865	weak_bullish	0.504294	0.50658	-0.002285	no_entry	0.02915	True	True	above_200dma_and_slope_60_positive	0.8304027985946627	0.8727415743315783	1.5166243173519265
2025-12-02	239.4900054931641	0.4118752228784093		0.564506	0.542609	0.021897	weak_bullish	0.503059	0.50658	-0.00352	no_entry	0.025417	True	True	above_200dma_and_slope_60_positive	0.8217708296214565	0.8203862111391482	1.4851822932865186
2025-12-24	286.67999267578125			0.610049	0.542609	0.06744	weak_bullish	0.506057	0.50658	-0.000523	no_entry	0.067963	True	True	above_200dma_and_slope_60_positive	0.7133634958566353	0.7322053938113671	1.1075773636889876
2026-01-12	345.8699951171875			0.639658	0.542609	0.097049	weak_bullish	0.505431	0.50658	-0.001149	no_entry	0.098198	True	True	above_200dma_and_slope_60_positive	0.8019693170670437	0.7976611543099814	1.304959823085124
2026-01-16	362.75			0.621387	0.542609	0.078778	weak_bullish	0.506391	0.50658	-0.000189	no_entry	0.078967	True	True	above_200dma_and_slope_60_positive	0.7932177173336576	0.8853950702055005	1.1876531715607446
