outcome_bucket	row_count	avg_live_confidence_gap	avg_shadow_confidence_gap	avg_gap_delta	promotion_verdict	bullish_pocket_count	bullish_pocket_confirmed_count	matured_20d_count	avg_return_20d	hit_rate_20d	matured_60d_count	avg_return_60d	hit_rate_60d
both_selected	76	0.0934	0.0013	-0.0921	Shared conviction supports the current live line, not a challenger-only upgrade.	57	53	72	0.1068	0.6111	64	0.3889	0.8438
live_selected_while_shadow_not	487	0.0358	-0.001	-0.0368	Supports the current live line; the shadow challenger is still too restrictive here.	274	241	472	0.019	0.5106	441	0.0955	0.5533
both_blocked	1	0.0099	0.0	-0.0099	Both models are interested but overlays block entry, so this stays in monitoring rather than promotion territory.	1	1	0			0		
live_blocked_shadow_idle	314	0.0203	-0.0016	-0.0218	Mostly an overlay asymmetry on the live side; this is not promotion evidence for the challenger.	227	217	314	0.0355	0.5605	313	0.0788	0.5719
both_idle	382	-0.0127	-0.0029	0.0098	Neither line is active, so this bucket is baseline context rather than promotion evidence.	203	135	382	0.038	0.5838	382	0.126	0.6675
