regime	sample_rows	promotion_bucket	count	avg_future_return_60	median_future_return_60	hit_rate	avg_future_return_60_ex_best	max_future_return_60
all_shared	1260	live_blocked_shadow_selected	0	0.0	0.0	0.0	0.0	0.0
all_shared	1260	shadow_selected_live_idle	0	0.0	0.0	0.0	0.0	0.0
all_shared	1260	live_selected_shadow_idle	369	0.06373683799931108	0.016005718179010087	0.5311653116531165	0.06098060513178494	1.0780305332489384
all_shared	1260	shadow_blocked_live_selected	72	0.2584467529465562	0.21704158396187834	0.6666666666666666	0.24788993948961635	1.0079805083892897
all_shared	1260	both_selected	64	0.3889121101158792	0.4526763965626097	0.84375	0.37806066595210197	1.0725530924338469
all_shared	1260	both_idle	382	0.12601860125056744	0.08371377718151041	0.6675392670157068	0.12346592310000258	1.0985889766157744
above_200dma_bullish_pocket	762	live_blocked_shadow_selected	0	0.0	0.0	0.0	0.0	0.0
above_200dma_bullish_pocket	762	shadow_selected_live_idle	0	0.0	0.0	0.0	0.0	0.0
above_200dma_bullish_pocket	762	live_selected_shadow_idle	169	0.12469844092865849	0.04357015875501902	0.5798816568047337	0.11902384514103777	1.0780305332489384
above_200dma_bullish_pocket	762	shadow_blocked_live_selected	59	0.34034031368934275	0.3416552016347194	0.7796610169491526	0.32882927584968846	1.0079805083892897
above_200dma_bullish_pocket	762	both_selected	45	0.4054004245069098	0.3923418766261615	0.8888888888888888	0.39023786387220666	1.0725530924338469
above_200dma_bullish_pocket	762	both_idle	203	0.1666733278197737	0.08562743802841699	0.6896551724137931	0.16205988401385288	1.0985889766157744
above_200dma_and_slope_60_positive	647	live_blocked_shadow_selected	0	0.0	0.0	0.0	0.0	0.0
above_200dma_and_slope_60_positive	647	shadow_selected_live_idle	0	0.0	0.0	0.0	0.0	0.0
above_200dma_and_slope_60_positive	647	live_selected_shadow_idle	137	0.14250374947244013	0.0340356190527793	0.5620437956204379	0.13562487606231882	1.0780305332489384
above_200dma_and_slope_60_positive	647	shadow_blocked_live_selected	58	0.3423021253754465	0.3624771818227943	0.7758620689655172	0.33062355725239667	1.0079805083892897
above_200dma_and_slope_60_positive	647	both_selected	41	0.4651586478117029	0.5289779077181702	0.975609756097561	0.44997378669614935	1.0725530924338469
above_200dma_and_slope_60_positive	647	both_idle	135	0.24553697351125792	0.17581479720870585	0.837037037037037	0.23917091378659736	1.0985889766157744
bullish_pullback_dd20_le_-0.03	336	live_blocked_shadow_selected	0	0.0	0.0	0.0	0.0	0.0
bullish_pullback_dd20_le_-0.03	336	shadow_selected_live_idle	0	0.0	0.0	0.0	0.0	0.0
bullish_pullback_dd20_le_-0.03	336	live_selected_shadow_idle	98	0.08132817447821518	-0.000679493993308633	0.5	0.07105289242903247	1.0780305332489384
bullish_pullback_dd20_le_-0.03	336	shadow_blocked_live_selected	14	0.43108220682954373	0.5573259125124996	0.7857142857142857	0.386705414401871	1.0079805083892897
bullish_pullback_dd20_le_-0.03	336	both_selected	12	0.7259147151753697	0.8074840070094205	1.0	0.6944021354245989	1.0725530924338469
bullish_pullback_dd20_le_-0.03	336	both_idle	108	0.2719934847647072	0.187251359152669	0.7962962962962963	0.26426829325208034	1.0985889766157744
