stream	line_id	status	signal	model_ready	buy_point_ok	probability	cutoff	confidence_gap	latest_date	decision_note
live	mu_tb30_ret_60_vol_ratio_20_120_top12_5	blocked	no_entry	True	False	0.5177	0.5077	0.01	2026-04-17	Official live line is above threshold but still blocked by the buy-point overlay.
shadow	mu_tb20_ret_60_vol_ratio_20_120_top12_5_shadow	blocked	no_entry	True	False	0.5007	0.5006	0.0001	2026-04-17	Research-only challenger on future-return-top-bottom-20pct with top_12_5pct. Regime lens: above_200dma_and_slope_60_positive.
