variant	monitoring_scope	tolerance	pocket_label	full_oos_selected_rows	full_oos_episode_count	full_oos_episode_hit_rate	full_oos_episode_avg_return	full_oos_episode_max_drawdown_compound	live_full_oos_episode_count	live_full_oos_episode_hit_rate	live_full_oos_episode_avg_return	live_full_oos_episode_max_drawdown_compound	full_oos_episode_avg_return_vs_live	full_oos_episode_hit_rate_vs_live	full_oos_live_only_pocket_cases	full_oos_recovered_cases	full_oos_recovery_share	full_oos_recovered_avg_return	full_oos_recovered_hit_rate	full_oos_recovered_shadow_gap_median	pooled_fold_episodes	mean_fold_hit_rate	mean_fold_avg_return	min_fold_avg_return	worst_fold_drawdown_compound	mean_fold_avg_return_vs_live
shadow_base	side_probe_only	0.0	above_200dma_and_slope60_positive	129	7	0.5714	0.1731	-0.3662	6	0.8333	0.4037	0.0	-0.2307	-0.2619	8	0	0.0	0.0	0.0	0.0	12	0.75	0.2355	0.1671	-0.2537	0.0
shadow_tol_0_001	side_probe_only	0.001	above_200dma_and_slope60_positive	213	7	0.5714	0.2623	-0.3078	6	0.8333	0.4037	0.0	-0.1414	-0.2619	8	8	1.0	0.4641	0.875	-0.000153	12	0.75	0.2355	0.1671	-0.2537	0.0
shadow_tol_0_0025	side_probe_only	0.0025	above_200dma_and_slope60_positive	311	8	0.625	0.353	-0.242	6	0.8333	0.4037	0.0	-0.0507	-0.2083	8	8	1.0	0.4641	0.875	-0.000153	12	0.75	0.2505	0.1671	-0.2537	0.015
shadow_tol_0_005	side_probe_only	0.005	above_200dma_and_slope60_positive	336	8	0.625	0.353	-0.242	6	0.8333	0.4037	0.0	-0.0507	-0.2083	8	8	1.0	0.4641	0.875	-0.000153	13	0.6528	0.1419	0.1167	-0.5695	-0.0936
