row_type	promotion_bucket	owner_side	promotion_verdict	verdict_confidence	case_count	matured_cases	avg_future_return_60	hit_rate_60	bullish_pocket_case_count	bullish_pocket_matured_count	bullish_pocket_avg_future_return_60	bullish_pocket_hit_rate_60	latest_date	note
bucket	both_selected	shared	inconclusive	context_only	84	69	0.3592	0.8116	62	47	0.4018	0.8936	2026-04-14	Shared-conviction or shared-idle bucket. This is context, not promotion evidence.
bucket	live_selected_shadow_idle	live	supports_live	moderate	385	358	0.0652	0.5279	189	162	0.131	0.5802	2026-04-07	When live diverges in its own favor, realized outcomes still back the official live line. 162 matured rows happened inside the bullish pocket.
bucket	shadow_blocked_live_selected	live	supports_live	moderate	94	78	0.2421	0.6795	80	64	0.3014	0.75	2026-04-16	When live diverges in its own favor, realized outcomes still back the official live line. 64 matured rows happened inside the bullish pocket.
bucket	both_blocked	shared	inconclusive	context_only	1	0	0.0	0.0	1	0			2026-04-17	Shared-conviction or shared-idle bucket. This is context, not promotion evidence.
bucket	both_idle	shared	inconclusive	context_only	382	382	0.126	0.6675	203	203	0.1667	0.6897	2025-09-03	Shared-conviction or shared-idle bucket. This is context, not promotion evidence.
bucket	live_model_ready_shadow_not_ready	shared	inconclusive	context_only	314	313	0.0788	0.5719	227	226	0.1086	0.5973	2026-03-02	Shared-conviction or shared-idle bucket. This is context, not promotion evidence.
rollup	promotion_case_rollup	aggregate	supports_live	low	436	436	0.0968	0.555	226	226				live_cases=436, challenger_cases=0, live_avg=0.0968, challenger_avg=0.0000, live_hit=0.5550, challenger_hit=0.0000, live_bullish_pocket_cases=226, challenger_bullish_pocket_cases=0. Directional sample is still thin, so treat this as a live-leaning hold rather than a switch-ready call.
