asset_key	role	model_name	extra_features	fold_name	validation_f1	validation_bal_acc	test_f1	test_bal_acc	test_positive_rate
smh	headline	ret_60_plus_all_regime_features	ret_60,year,rolling_return_120,rolling_vol_60	fold_1	0.5437	0.5846	0.6058	0.5133	0.7625
smh	headline	ret_60_plus_all_regime_features	ret_60,year,rolling_return_120,rolling_vol_60	fold_2	0.658	0.5123	0.5954	0.5063	0.9259
smh	headline	ret_60_plus_all_regime_features	ret_60,year,rolling_return_120,rolling_vol_60	fold_3	0.6056	0.5009	0.5878	0.4997	0.998
smh	operator	ret_60_plus_sma_gap_60_plus_neg_weight_1_15	ret_60,sma_gap_60	fold_1	0.5482	0.5533	0.609	0.5089	0.7856
smh	operator	ret_60_plus_sma_gap_60_plus_neg_weight_1_15	ret_60,sma_gap_60	fold_2	0.6576	0.5067	0.598	0.5041	0.9469
smh	operator	ret_60_plus_sma_gap_60_plus_neg_weight_1_15	ret_60,sma_gap_60	fold_3	0.606	0.5018	0.5872	0.4993	0.996
