model_name	rule_name	role	operator_score	recent_selected_count	latest_date	latest_selected	cutoff
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	operator	16.6734	3	2026-04-02	False	0.49
ret_60_plus_all_regime_features	top_10pct	headline	15.7834	16	2026-04-02	False	0.5004
ret_60_plus_all_regime_features	top_12_5pct	headline	14.7334	18	2026-04-02	False	0.5003
