model_name	rule_name	role	operator_score	recent_selected_count	latest_date	latest_selected	cutoff
ret_60_plus_sma_gap_60	fixed_0.47	operator	12.36	6	2026-03-26	True	0.47
ret_60_plus_sma_gap_60_interaction	threshold	headline	11.5946	20	2026-03-26	True	0.418
ret_60_plus_sma_gap_60	fixed_0.49	operator	11.5466	4	2026-03-26	False	0.49
