asset_key	role	model_name	best_rule_name	selected_count	hit_rate	avg_return	cutoff	recent_selected_count	latest_date	latest_score	latest_selected	last_selected_date
gld	headline	ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	9	0.7778	0.1017	0.47	6	2026-03-26	0.4749	True	2026-03-26
gld	headline	ret_60_plus_sma_gap_60_plus_atr_pct_20_plus_neg_weight_1_15	threshold	11	0.7273	0.0953	0.407	16	2026-03-26	0.4352	True	2026-03-26
gld	headline	ret_60_plus_sma_gap_60_plus_distance_to_252_high_plus_neg_weight_1_15	top_10pct	7	0.7143	0.0965	0.4719	3	2026-03-26	0.4569	False	2026-03-23
gld	headline	ret_60_plus_sma_gap_60_plus_close_location_20_plus_neg_weight_1_15	threshold	11	0.7273	0.0943	0.414	19	2026-03-26	0.4501	True	2026-03-26
gld	headline	ret_60_plus_sma_gap_60_plus_up_day_ratio_20_plus_neg_weight_1_15	top_20pct	9	0.7778	0.1047	0.4763	5	2026-03-26	0.4807	True	2026-03-26
gld	headline	ret_60_plus_sma_gap_60_plus_above_200dma_flag_plus_neg_weight_1_15	top_20pct	9	0.8889	0.1095	0.499	8	2026-03-26	0.5032	True	2026-03-26
gld	headline	ret_60_plus_sma_gap_60_plus_rolling_vol_60_plus_neg_weight_1_15	top_20pct	9	0.7778	0.1118	0.4877	4	2026-03-26	0.4871	False	2026-03-24
gld	headline	ret_60_plus_sma_gap_60_plus_rolling_return_120_plus_neg_weight_1_15	top_12_5pct	9	0.8889	0.1215	0.4874	7	2026-03-26	0.5011	True	2026-03-26
