date	close	future_return_60	context_probability	context_selected	context_cutoff	context_trend_quality_20	context_percent_up_days_20	context_bollinger_bandwidth_20	context_distance_from_60d_low	context_atr_pct_20_percentile	rv_probability	rv_selected	rv_cutoff	rv_rolling_vol_60	rv_ret_60	rv_sma_gap_60	selection_state
2023-02-03 14:30:00	173.4600067138672	0.0810561340619946	0.4921916425228119	False	0.5006368696689606	0.0777108131990468	0.55	0.056944109834971	0.1120657229460477	0.6904761904761905	0.4983800947666168	True	0.4942682504653931	0.0104490714059048	0.1129932622437948	0.0211939679094261	rv_only
2023-02-06 14:30:00	173.82000732421875	0.0879645187082123	0.4860715866088867	False	0.5006368696689606	0.0031090074479795	0.55	0.0567309266539539	0.0970022762512086	0.5238095238095238	0.4926404058933258	False	0.4942682504653931	0.01006968722651	0.0901223621888251	0.0218725382683659	neither
2023-02-07 14:30:00	173.97999572753906	0.0946086166115576	0.4840832054615021	False	0.5006368696689606	-0.0033900614379374	0.55	0.0569480330422896	0.0787450213564389	0.5595238095238095	0.4883139133453369	False	0.4942682504653931	0.0100337748965565	0.0966278122964012	0.0212790713219073	neither
2023-02-08 14:30:00	174.41000366210938	0.074823707228629	0.4796817898750305	False	0.5006368696689606	-0.0093109948314669	0.55	0.057457487053599	0.0814112412090244	0.5634920634920635	0.48612847924232483	False	0.4942682504653931	0.0092927597478359	0.0668583815770744	0.0227096380457985	neither
2023-02-09 14:30:00	173.02999877929688	0.0847252139255256	0.4862523674964905	False	0.5006368696689606	-0.0443930305422285	0.55	0.0603487710126425	0.0728546632498383	0.6944444444444444	0.4904077649116516	False	0.4942682504653931	0.0093364511317994	0.051470596416892	0.0137783496558485	neither
2023-02-10 14:30:00	173.36000061035156	0.090332277382181	0.4791896641254425	False	0.5006368696689606	-0.0943657215106371	0.55	0.0641829132779757	0.0749008055709719	0.6150793650793651	0.4858343303203583	False	0.4942682504653931	0.0093358554175346	0.0511763432883394	0.0148753995677972	neither
2023-02-13 14:30:00	172.47999572753906	0.0943298044728742	0.4789191484451294	False	0.5006368696689606	-0.188447799125696	0.5	0.0689166210435089	0.0694444260479489	0.5595238095238095	0.48741415143013	False	0.4942682504653931	0.0093605206167768	0.0421752007706288	0.0090365327215318	neither
2023-02-14 14:30:00	172.61000061035156	0.0841202955861073	0.482881635427475	False	0.5006368696689606	-0.1507366000827081	0.55	0.0729116581056132	0.0702505079167268	0.5992063492063492	0.48922649025917053	False	0.4942682504653931	0.0093520760383799	0.045360984221495	0.0090601699988843	neither
2023-02-15 14:30:00	170.88999938964844	0.0931593318848686	0.48381203413009644	False	0.5006368696689606	-0.1848375089854712	0.55	0.0793962713799044	0.059585817727481	0.6428571428571429	0.4906197786331177	False	0.4942682504653931	0.0093977985410419	0.0425207497471995	-0.0016727412878162	neither
2023-02-16 14:30:00	170.75	0.0963982823652545	0.48158231377601624	False	0.5006368696689606	-0.2997729324827757	0.5	0.083207821401498	0.0587177659497772	0.5277777777777778	0.4897596836090088	False	0.4942682504653931	0.009346774672205	0.0488973956763794	-0.0032631087010451	neither
2023-02-17 14:30:00	171.25999450683594	0.0794698180946649	0.48143598437309265	False	0.5006368696689606	-0.2608684900673481	0.55	0.0854710372580337	0.0600395957837536	0.5714285714285714	0.48861467838287354	False	0.4942682504653931	0.0093123076474134	0.0579440903205665	-0.0011975513534772	neither
2023-02-21 14:30:00	170.6199951171875	0.0797679111466609	0.48127126693725586	False	0.5006368696689606	-0.2946421214087342	0.5	0.0871872985341847	0.0560782229233935	0.5198412698412699	0.489463746547699	False	0.4942682504653931	0.0093321524021155	0.0527549047114228	-0.0057563673609032	neither
2023-02-22 14:30:00	169.66000366210938	0.0717905953841582	0.4806225895881653	False	0.5006368696689606	-0.3516009848519885	0.45	0.0880816200401759	0.0478660973671121	0.4841269841269841	0.48990878462791443	False	0.4942682504653931	0.009342884564162	0.0403483060901075	-0.0119818648979389	neither
2023-02-23 14:30:00	169.57000732421875	0.0829745323919683	0.4844494163990021	False	0.5006368696689606	-0.3886141226415674	0.4	0.0856720016323703	0.0473102556287694	0.4206349206349206	0.49346110224723816	False	0.4942682504653931	0.0093442120038125	0.0389045831149654	-0.0131142005805109	neither
2023-02-24 14:30:00	168.35000610351562	0.0882684886938132	0.49142563343048096	False	0.5006368696689606	-0.3801026746077921	0.4	0.0864085878527443	0.0366380075779058	0.3412698412698413	0.49852117896080017	True	0.4942682504653931	0.0093336191311848	0.0396468456624254	-0.0208242898790134	rv_only
2023-02-27 14:30:00	169.00999450683594	0.0853203871819667	0.48366430401802063	False	0.5006368696689606	-0.3428062289656533	0.45	0.0846238038455466	0.0407019757313835	0.2857142857142857	0.49149900674819946	False	0.4942682504653931	0.0093266741578206	0.0385915254973123	-0.0175836622969699	neither
2023-02-28 14:30:00	169.77999877929688	0.0716809886703175	0.4940741956233978	False	0.5006368696689606	-0.2956539335124784	0.5	0.0810438953377161	0.0332277946184913	0.3373015873015873	0.49673858284950256	True	0.4942682504653931	0.0092053468798586	0.0301559449931803	-0.0135827553619167	rv_only
2023-03-01 14:30:00	170.75999450683594	0.0552822835856225	0.49682101607322693	False	0.5006368696689606	-0.2804909148091822	0.5	0.0733153709887048	0.0391917410879278	0.3611111111111111	0.49816563725471497	True	0.4942682504653931	0.0089307867617363	0.0173975109190711	-0.0081694483638413	rv_only
