date	close	predicted_probability	selected	cutoff	model_name	rule_name
2025-12-26 14:30:00	416.739990234375	0.4600275456905365	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2025-12-29 14:30:00	398.6000061035156	0.4809299409389496	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2025-12-30 14:30:00	398.8900146484375	0.47665664553642273	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2025-12-31 14:30:00	396.30999755859375	0.47469934821128845	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-02 14:30:00	398.2799987792969	0.47787290811538696	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-05 14:30:00	408.760009765625	0.4703831076622009	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-06 14:30:00	413.1799926757813	0.4672430157661438	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-07 14:30:00	409.2300109863281	0.47004008293151855	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-08 14:30:00	411.489990234375	0.4691697657108307	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-09 14:30:00	414.4700012207031	0.4687841236591339	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-12 14:30:00	422.2300109863281	0.4589400887489319	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-13 14:30:00	421.6300048828125	0.46492868661880493	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-14 14:30:00	425.9400024414063	0.45524418354034424	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-15 14:30:00	423.3299865722656	0.4605093002319336	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-16 14:30:00	421.2900085449219	0.45968469977378845	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-20 14:30:00	437.2300109863281	0.44826486706733704	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-21 14:30:00	443.6000061035156	0.4335181415081024	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-22 14:30:00	451.7900085449219	0.4301595985889435	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-23 14:30:00	458.0	0.42413318157196045	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-26 14:30:00	464.7000122070313	0.41761332750320435	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-27 14:30:00	476.1000061035156	0.4015066623687744	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-28 14:30:00	494.55999755859375	0.37778088450431824	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-29 14:30:00	495.8999938964844	0.380241721868515	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-01-30 14:30:00	444.9500122070313	0.5205385684967041	True	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-02-02 14:30:00	427.1300048828125	0.46058666706085205	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-02-03 14:30:00	454.2900085449219	0.42055201530456543	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-02-04 14:30:00	453.9700012207031	0.4154696464538574	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-02-05 14:30:00	441.8800048828125	0.4072555899620056	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-02-06 14:30:00	455.4599914550781	0.4052872955799103	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-02-09 14:30:00	467.0299987792969	0.40536171197891235	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-02-10 14:30:00	462.3999938964844	0.4059840440750122	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-02-11 14:30:00	467.6300048828125	0.4098922908306122	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-02-12 14:30:00	451.3900146484375	0.42741554975509644	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-02-13 14:30:00	462.6199951171875	0.41499099135398865	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-02-17 14:30:00	448.2000122070313	0.40910592675209045	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-02-18 14:30:00	458.2799987792969	0.4198777377605438	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-02-19 14:30:00	459.55999755859375	0.41753196716308594	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
2026-02-20 14:30:00	468.6199951171875	0.4268353581428528	False	0.5006368696689606	context_full_top_7_5pct	top_7.5pct
