line_id	lane_type	role	preferred	status	recent_selected_count	latest_date	latest_value	latest_selected	cutoff	last_selected_date	usage_note
sma_gap_60_plus_rolling_return_120::fixed_0.49	deep_research	primary	True	watchlist_ready	4	2026-04-06	0.4344	False	0.49	2026-02-05	Second-round deep-research line with round2_score=0.9190; best rule avg_return=0.2106 across 3 trades.
sma_gap_60_plus_up_day_ratio_20::top_10pct	deep_research	research_side_line	False	watchlist_ready	4	2026-04-06	0.4902	False	0.4986	2026-02-05	Second-round deep-research line with round2_score=0.8534; best rule avg_return=0.1403 across 3 trades.
sma_gap_60_plus_distance_to_252_high::top_10pct	deep_research	research_side_line	False	watchlist_ready	5	2026-04-06	0.4856	False	0.4989	2026-02-05	Second-round deep-research line with round2_score=0.8448; best rule avg_return=0.1403 across 3 trades.
