model_name	rule_name	role	operator_score	recent_selected_count	latest_date	latest_selected	cutoff
sma_gap_60	fixed_0.49	headline	21.8766	4	2026-04-06	False	0.49
up_day_ratio_20	top_10pct	balance	14.8466	4	2026-04-06	False	0.4998
ret_60	top_10pct	operator	14.8466	5	2026-04-06	False	0.4999
