asset_key	horizon_days	upper_barrier	lower_barrier	validation_f1	validation_bal_acc	test_f1	test_bal_acc	headline_score	threshold	test_positive_rate	rows
spy	60	0.06	-0.03	0.6633165829145727	0.5037037037037037	0.5548037889039242	0.5007587253414264	0.5551828201172826	0.412	0.999064564704895	7122
spy	60	0.08	-0.04	0.5628140703517588	0.5042089200952709	0.5247863247863248	0.5017921146953405	0.5234358704030109	0.414	0.9976878762245178	5763
spy	60	0.1	-0.05	0.568935427574171	0.6559576392954074	0.4444444444444444	0.5217585920782567	0.5136882048456297	0.308	0.6661561727523804	4349
spy	40	0.08	-0.04	0.5349650349650349	0.6666666666666667	0.40449438202247184	0.5455385335048533	0.4991189865201183	0.353	0.6731054782867432	4482
