model_name	rule_name	recent_rows	recent_selected_count	latest_date	latest_probability_or_score	latest_selected	cutoff_or_threshold	last_selected_date
baseline_top10	top_10pct	60	0	2026-03-17	0.318356	False	0.385763	
rolling_vol_top10	top_10pct	60	0	2026-03-17	0.389515	False	0.452192	
