model_name	fold	validation_f1	validation_bal_acc	test_f1	test_bal_acc	test_positive_rate
baseline_10_5	fold_1	0.335155	0.610128	0.548644	0.634418	0.531768
baseline_10_5	fold_2	0.575342	0.656056	0.45283	0.581843	0.517956
baseline_10_5	fold_3	0.518337	0.662753	0.375527	0.537264	0.342541
rolling_vol_60	fold_1	0.333333	0.605639	0.510476	0.622295	0.390884
rolling_vol_60	fold_2	0.570552	0.651932	0.425829	0.557804	0.504144
rolling_vol_60	fold_3	0.565489	0.694171	0.435101	0.560463	0.44337
