model_name	rule_name	trade_count	hit_rate	avg_return	min_fold_excess_return	max_fold_excess_return
baseline_top10	top_10pct	24	0.583333	0.041218	-0.005598	0.049017
rolling_vol_top10	top_10pct	24	0.583333	0.040077	-0.007467	0.043781
