model_name	rule_name	trade_count	hit_rate	avg_return	min_fold_excess_return	max_fold_excess_return
baseline_threshold	threshold	41	0.536585	0.021938	-0.002279	0.005982
rs_top20	top_20pct	30	0.466667	0.018114	-0.022493	0.014183
