date	close	predicted_probability	baseline_selected	side_probability	side_selected	ret_20_vs_benchmark	trend_quality_20	percent_up_days_20	selection_state
2025-11-13 14:30:00	236.7899932861328	0.49553367495536804	True	0.49100378155708313	False	-0.0510027936518143	-0.1392270875648039	0.45	baseline_only
2025-11-14 14:30:00	237.47999572753903	0.49184319376945496	True	0.48266658186912537	False	-0.0357109421666974	-0.1001975869082488	0.5	baseline_only
2025-11-17 14:30:00	232.759994506836	0.49580106139183044	True	0.49193698167800903	False	-0.0536700537901551	-0.2675626331084619	0.45	baseline_only
2025-11-18 14:30:00	233.47000122070312	0.49168625473976135	True	0.48406079411506653	False	-0.0380399408761111	-0.2337080395807035	0.5	baseline_only
2025-11-19 14:30:00	233.42999267578125	0.4915773272514343	True	0.4839969575405121	False	-0.0329831138843222	-0.1774729425891406	0.5	baseline_only
2025-11-20 14:30:00	229.1100006103516	0.4974559247493744	True	0.4960780143737793	False	-0.0416196465972433	-0.3103977377223871	0.45	baseline_only
2025-11-21 14:30:00	235.6000061035156	0.4942263066768646	True	0.4907793700695038	False	-0.0285434926804383	-0.2141344352175843	0.45	baseline_only
2025-11-24 14:30:00	239.8999938964844	0.4871985614299774	True	0.4797709584236145	False	-0.017456413132221	-0.1507892567110024	0.45	baseline_only
2025-11-25 14:30:00	245.1300048828125	0.4858614504337311	True	0.4749870300292969	False	0.0021399063083132	-0.0516352270511675	0.5	baseline_only
2025-12-01 14:30:00	245.6199951171875	0.4861069619655609	True	0.4754992723464966	False	0.0001470092505221	-0.0081564063849335	0.55	baseline_only
2025-12-02 14:30:00	245.1699981689453	0.4836927056312561	True	0.47242382168769836	False	0.001548668383985	-0.0036222738539572	0.55	baseline_only
2025-12-11 14:30:00	257.79998779296875	0.47154074907302856	False	0.45471179485321045	False	0.0496459281900265	0.1943691061346107	0.65	neither
2025-12-22 14:30:00	253.5800018310547	0.4802931547164917	False	0.4555131494998932	False	0.0371673441827491	0.3375208040096344	0.65	neither
2025-12-31 14:30:00	246.1600036621093	0.4815702438354492	False	0.46203503012657166	False	0.0034658630943049	0.0215090856873017	0.5	neither
2026-01-05 14:30:00	252.72999572753903	0.48166123032569885	False	0.4633188247680664	False	-0.0012519363019385	0.0195016464508025	0.5	neither
2026-01-06 14:30:00	256.0799865722656	0.4803498089313507	False	0.4598075747489929	False	0.0122494017761567	0.1088390040161364	0.55	neither
2026-01-07 14:30:00	255.47999572753903	0.47886085510253906	False	0.45856449007987976	False	0.0096724978741142	0.0942912624077068	0.5	neither
2026-01-08 14:30:00	258.2699890136719	0.4742264151573181	False	0.4513647258281708	False	0.0178953879931513	0.1362377203930593	0.5	neither
2026-01-09 14:30:00	260.2300109863281	0.4744940996170044	False	0.4539864957332611	False	0.0118172208490934	0.1095579727392433	0.5	neither
2026-01-12 14:30:00	261.5	0.47224047780036926	False	0.45227232575416565	False	0.0056606584504195	0.0764138299806638	0.5	neither
2026-01-13 14:30:00	261.3500061035156	0.4771799147129059	False	0.4593583941459656	False	0.011928822198493	0.1705564358566435	0.5	neither
2026-01-14 14:30:00	263.19000244140625	0.4725550413131714	False	0.4504040479660034	False	0.0305484094932586	0.2620477789716679	0.55	neither
2026-01-15 14:30:00	265.510009765625	0.4719148874282837	False	0.44842368364334106	False	0.0427705657547852	0.3741040884111247	0.6	neither
2026-01-16 14:30:00	265.760009765625	0.4716535806655884	False	0.44683125615119934	False	0.0447313138977956	0.4844882234463331	0.65	neither
2026-01-20 14:30:00	262.5799865722656	0.483066201210022	True	0.4630696773529053	False	0.0541267395255351	0.3308142611719312	0.6	baseline_only
2026-01-21 14:30:00	267.7900085449219	0.4795510470867157	False	0.46068334579467773	False	0.0607184660003039	0.3651653908451359	0.6	neither
2026-01-22 14:30:00	269.7900085449219	0.47439804673194885	False	0.45493489503860474	False	0.0578647812956292	0.3501002835688905	0.6	neither
