model_name	rule_name	recent_selected_count	latest_date	latest_score	latest_selected	cutoff	last_selected_date
baseline_threshold	threshold	45	2026-03-10	0.473054	True	0.45	2026-03-10
rs_sidecar_threshold	threshold	44	2026-03-10	0.460113	True	0.436	2026-03-10
