asset_key	role	model_name	round3_score	walkforward_avg_test_bal_acc	test_positive_rate	best_rule_name	best_rule_avg_return	best_rule_trade_count	recent_selected_count	latest_selected
rsp	headline	close_location_20_plus_rolling_return_120_plus_slope_20_plus_neg_weight_1_15	0.823	0.5353	0.757	top_12_5pct	0.0384	7	0	False
rsp	headline	close_location_20_plus_distance_to_252_high_plus_slope_20_plus_neg_weight_1_15	0.8164	0.533	0.8081	top_10pct	0.0583	6	0	False
rsp	headline	close_location_20_plus_distance_to_252_high_plus_neg_weight_1_15	0.8122	0.5251	0.8151	top_10pct	0.0583	6	0	False
