model_name	rule_name	role	recent_selected_count	latest_date	latest_score	latest_selected	cutoff	last_selected_date
ret_60_plus_all_regime_features	top_17_5pct	balance	0	2026-03-30	0.4822	False	0.4952	
ret_60_plus_all_regime_features	top_15pct	balance	0	2026-03-30	0.4822	False	0.4957	
sma_gap_60	top_20pct	operator	8	2026-03-30	0.4655	False	0.4793	2026-02-18
ret_60_plus_all_regime_features	top_20pct	balance	0	2026-03-30	0.4822	False	0.4946	
ret_60_plus_all_regime_features	fixed_0.49	balance	0	2026-03-30	0.4822	False	0.49	
