date	close	adopted_top20_probability	adopted_top20_selected	adopted_top20_cutoff	adopted_top20_threshold	fallback_top15_probability	fallback_top15_selected	fallback_top15_cutoff	fallback_top15_threshold
2025-12-19 14:30:00	481.2000122070313	0.42203468084335327	False	0.5768805623054505	0.508	0.37463539838790894	False	0.6577959477901459	0.523
2025-12-22 14:30:00	488.7300109863281	0.4384736716747284	False	0.5768805623054505	0.508	0.39487773180007935	False	0.6577959477901459	0.523
2025-12-23 14:30:00	485.55999755859375	0.42408668994903564	False	0.5768805623054505	0.508	0.3746997117996216	False	0.6577959477901459	0.523
2025-12-24 14:30:00	485.3999938964844	0.4265562891960144	False	0.5768805623054505	0.508	0.3791911005973816	False	0.6577959477901459	0.523
2025-12-26 14:30:00	475.1900024414063	0.41162994503974915	False	0.5768805623054505	0.508	0.36226898431777954	False	0.6577959477901459	0.523
2025-12-29 14:30:00	459.6400146484375	0.404057115316391	False	0.5768805623054505	0.508	0.36207833886146545	False	0.6577959477901459	0.523
2025-12-30 14:30:00	454.4299926757813	0.40270987153053284	False	0.5768805623054505	0.508	0.3672250807285309	False	0.6577959477901459	0.523
2025-12-31 14:30:00	449.7200012207031	0.3900752365589142	False	0.5768805623054505	0.508	0.3522127866744995	False	0.6577959477901459	0.523
2026-01-02 14:30:00	438.0700073242188	0.3926147222518921	False	0.5768805623054505	0.508	0.3596988618373871	False	0.6577959477901459	0.523
2026-01-05 14:30:00	451.6700134277344	0.3874056935310364	False	0.5768805623054505	0.508	0.34143930673599243	False	0.6577959477901459	0.523
2026-01-06 14:30:00	432.9599914550781	0.3684152662754059	False	0.5768805623054505	0.508	0.3150508403778076	False	0.6577959477901459	0.523
2026-01-07 14:30:00	431.4100036621094	0.3554026186466217	False	0.5768805623054505	0.508	0.3038562536239624	False	0.6577959477901459	0.523
2026-01-08 14:30:00	435.7999877929688	0.36448484659194946	False	0.5768805623054505	0.508	0.31207069754600525	False	0.6577959477901459	0.523
2026-01-09 14:30:00	445.010009765625	0.3600814640522003	False	0.5768805623054505	0.508	0.29810547828674316	False	0.6577959477901459	0.523
2026-01-12 14:30:00	448.9599914550781	0.3671260178089142	False	0.5768805623054505	0.508	0.3059823215007782	False	0.6577959477901459	0.523
2026-01-13 14:30:00	447.2000122070313	0.3466472923755646	False	0.5768805623054505	0.508	0.2813577353954315	False	0.6577959477901459	0.523
2026-01-14 14:30:00	439.2000122070313	0.3430420756340027	False	0.5768805623054505	0.508	0.2752045691013336	False	0.6577959477901459	0.523
2026-01-15 14:30:00	438.5700073242188	0.3473048508167267	False	0.5768805623054505	0.508	0.279268354177475	False	0.6577959477901459	0.523
2026-01-16 14:30:00	437.5	0.36353030800819397	False	0.5768805623054505	0.508	0.3024959862232208	False	0.6577959477901459	0.523
2026-01-20 14:30:00	419.25	0.3571796715259552	False	0.5768805623054505	0.508	0.30178484320640564	False	0.6577959477901459	0.523
2026-01-21 14:30:00	431.4400024414063	0.3832378685474396	False	0.5768805623054505	0.508	0.329694926738739	False	0.6577959477901459	0.523
2026-01-22 14:30:00	449.3599853515625	0.37948402762413025	False	0.5768805623054505	0.508	0.32087966799736023	False	0.6577959477901459	0.523
2026-01-23 14:30:00	449.05999755859375	0.38146230578422546	False	0.5768805623054505	0.508	0.32176709175109863	False	0.6577959477901459	0.523
2026-01-26 14:30:00	435.2000122070313	0.36909469962120056	False	0.5768805623054505	0.508	0.3078109622001648	False	0.6577959477901459	0.523
2026-01-27 14:30:00	430.8999938964844	0.38509514927864075	False	0.5768805623054505	0.508	0.3354787826538086	False	0.6577959477901459	0.523
2026-01-28 14:30:00	431.4599914550781	0.3940134346485138	False	0.5768805623054505	0.508	0.3496246337890625	False	0.6577959477901459	0.523
2026-01-29 14:30:00	416.55999755859375	0.3997248411178589	False	0.5768805623054505	0.508	0.3649500012397766	False	0.6577959477901459	0.523
2026-01-30 14:30:00	430.4100036621094	0.4028349816799164	False	0.5768805623054505	0.508	0.3592740595340729	False	0.6577959477901459	0.523
2026-02-02 14:30:00	421.80999755859375	0.3943088948726654	False	0.5768805623054505	0.508	0.349372535943985	False	0.6577959477901459	0.523
2026-02-03 14:30:00	421.9599914550781	0.3945113718509674	False	0.5768805623054505	0.508	0.3504037857055664	False	0.6577959477901459	0.523
2026-02-04 14:30:00	406.010009765625	0.4034649729728699	False	0.5768805623054505	0.508	0.36860713362693787	False	0.6577959477901459	0.523
2026-02-05 14:30:00	397.2099914550781	0.3919725716114044	False	0.5768805623054505	0.508	0.35850945115089417	False	0.6577959477901459	0.523
2026-02-06 14:30:00	411.1099853515625	0.40319105982780457	False	0.5768805623054505	0.508	0.3728894293308258	False	0.6577959477901459	0.523
2026-02-09 14:30:00	417.3200073242188	0.40586763620376587	False	0.5768805623054505	0.508	0.37237799167633057	False	0.6577959477901459	0.523
2026-02-10 14:30:00	425.2099914550781	0.39025741815567017	False	0.5768805623054505	0.508	0.3481793701648712	False	0.6577959477901459	0.523
2026-02-11 14:30:00	428.2699890136719	0.3960057199001312	False	0.5768805623054505	0.508	0.3490569591522217	False	0.6577959477901459	0.523
2026-02-12 14:30:00	417.0700073242188	0.39852645993232727	False	0.5768805623054505	0.508	0.35409432649612427	False	0.6577959477901459	0.523
2026-02-13 14:30:00	417.4400024414063	0.40232375264167786	False	0.5768805623054505	0.508	0.365572065114975	False	0.6577959477901459	0.523
2026-02-17 14:30:00	410.6300048828125	0.39580532908439636	False	0.5768805623054505	0.508	0.36297720670700073	False	0.6577959477901459	0.523
2026-02-18 14:30:00	411.3200073242188	0.4057992398738861	False	0.5768805623054505	0.508	0.3801550567150116	False	0.6577959477901459	0.523
2026-02-19 14:30:00	411.7099914550781	0.4109135568141937	False	0.5768805623054505	0.508	0.3896406590938568	False	0.6577959477901459	0.523
2026-02-20 14:30:00	411.8200073242188	0.390060693025589	False	0.5768805623054505	0.508	0.3573462665081024	False	0.6577959477901459	0.523
2026-02-23 14:30:00	399.8299865722656	0.3890363872051239	False	0.5768805623054505	0.508	0.35962170362472534	False	0.6577959477901459	0.523
2026-02-24 14:30:00	409.3800048828125	0.40472596883773804	False	0.5768805623054505	0.508	0.38008472323417664	False	0.6577959477901459	0.523
2026-02-25 14:30:00	417.3999938964844	0.41699105501174927	False	0.5768805623054505	0.508	0.3964015245437622	False	0.6577959477901459	0.523
2026-02-26 14:30:00	408.5799865722656	0.41993698477745056	False	0.5768805623054505	0.508	0.4021362066268921	False	0.6577959477901459	0.523
2026-02-27 14:30:00	402.510009765625	0.4079689681529999	False	0.5768805623054505	0.508	0.38398778438568115	False	0.6577959477901459	0.523
2026-03-02 14:30:00	403.3200073242188	0.402942955493927	False	0.5768805623054505	0.508	0.3741324543952942	False	0.6577959477901459	0.523
2026-03-03 14:30:00	392.4299926757813	0.38663312792778015	False	0.5768805623054505	0.508	0.3538084328174591	False	0.6577959477901459	0.523
2026-03-04 14:30:00	405.9400024414063	0.40287962555885315	False	0.5768805623054505	0.508	0.3739352524280548	False	0.6577959477901459	0.523
2026-03-05 14:30:00	405.5499877929688	0.4117256999015808	False	0.5768805623054505	0.508	0.38515087962150574	False	0.6577959477901459	0.523
2026-03-06 14:30:00	396.7300109863281	0.4020867943763733	False	0.5768805623054505	0.508	0.37446996569633484	False	0.6577959477901459	0.523
2026-03-09 13:30:00	398.6799926757813	0.42015591263771057	False	0.5768805623054505	0.508	0.39752471446990967	False	0.6577959477901459	0.523
2026-03-10 13:30:00	399.239990234375	0.40745627880096436	False	0.5768805623054505	0.508	0.38020604848861694	False	0.6577959477901459	0.523
2026-03-11 13:30:00	407.8200073242188	0.4199918508529663	False	0.5768805623054505	0.508	0.3957201838493347	False	0.6577959477901459	0.523
2026-03-12 13:30:00	395.010009765625	0.4056994915008545	False	0.5768805623054505	0.508	0.37907251715660095	False	0.6577959477901459	0.523
2026-03-13 13:30:00	391.2000122070313	0.4158130884170532	False	0.5768805623054505	0.508	0.3976597487926483	False	0.6577959477901459	0.523
2026-03-16 13:30:00	395.55999755859375	0.4189005196094513	False	0.5768805623054505	0.508	0.39330658316612244	False	0.6577959477901459	0.523
2026-03-17 13:30:00	399.2699890136719	0.4104509651660919	False	0.5768805623054505	0.508	0.3841613829135895	False	0.6577959477901459	0.523
2026-03-18 13:30:00	392.7799987792969	0.41363006830215454	False	0.5768805623054505	0.508	0.3913169503211975	False	0.6577959477901459	0.523
