trade_count	hit_rate	avg_return	strategy_name	rule_name
33	0.6060606060606061	0.13407103080891145	ret_60_plus_sma_gap_60_plus_distance_to_252_high_threshold	threshold
16	0.75	0.19627315737664908	ret_60_plus_sma_gap_60_plus_distance_to_252_high_top_10pct	top_10pct
20	0.65	0.1944799069744692	ret_60_plus_sma_gap_60_plus_distance_to_252_high_top_15pct	top_15pct
21	0.6666666666666666	0.2289695291193477	ret_60_plus_sma_gap_60_plus_distance_to_252_high_top_20pct	top_20pct
