"asset"	"round3_model"	"round3_score"	"walkforward_avg_test_bal_acc"	"test_positive_rate"	"best_rule_name"	"best_rule_avg_return"	"best_rule_trade_count"	"status"	"action"	"latest_selected"	"latest_date"
"FXB"	"sma_gap_120"	"0.912"	"0.5791"	"0.1306"	"top_17_5pct"	"0.0341"	"3"	"watchlist_ready"	"research_only"	"False"	"2026-01-29"
"XLP"	"ret_60_plus_sma_gap_60_plus_above_200dma_flag_plus_sma_gap_120_plus_neg_weight_1_15"	"0.9044"	"0.6103"	"0.4974"	"top_10pct"	"0.0417"	"5"	"inactive"	"research_only"	"False"	"2026-03-17"
"PEP"	"above_200dma_flag_plus_distance_to_252_high"	"0.902"	"0.5452"	"0.538"	"fixed_0.47"	"0.0328"	"18"	"watchlist_ready"	"research_only"	"False"	"2026-03-17"
"VT"	"ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_sma_gap_60_plus_distance_from_60d_low_plus_neg_weight_1_15"	"0.8924"	"0.6368"	"0.1229"	"threshold"	"0.0915"	"3"	"inactive"	"research_only"	"False"	"2026-03-30"
"SMH"	"ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_close_location_20_plus_neg_weight_1_45"	"0.8835"	"0.5027"	"0.9878"	"top_10pct"	"0.134"	"12"	"watchlist_ready"	"research_only"	"False"	"2026-04-02"
"IJH"	"ret_60_plus_sma_gap_60_plus_above_200dma_flag_plus_neg_weight_1_15"	"0.8641"	"0.5325"	"0.6505"	"fixed_0.49"	"0.0968"	"4"	"inactive"	"research_only"	"False"	"2026-03-30"
"RSP"	"close_location_20_plus_rolling_return_120_plus_slope_20_plus_neg_weight_1_15"	"0.823"	"0.5353"	"0.757"	"top_12_5pct"	"0.0384"	"7"	"inactive"	"research_only"	"False"	"2026-03-17"
"META"	"ret_60_plus_rolling_return_120_plus_close_location_20_plus_neg_weight_1_3"	"0.7892"	"0.4902"	"0.9979"	"fixed_0.49"	"0.0945"	"3"	"inactive"	"research_only"	"False"	"2026-04-07"
