asset_key	role	model_name	best_rule_name	selected_count	hit_rate	avg_return	cutoff	recent_selected_count	latest_date	latest_score	latest_selected	last_selected_date
vt	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_atr_pct_20	threshold	5	1.0	0.0742	0.493	9	2026-03-30	0.5269	True	2026-03-30
vt	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_distance_to_252_high	top_10pct	5	1.0	0.099	0.4042	0	2026-03-30	0.452	False	
vt	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_close_location_20	fixed_0.47	4	1.0	0.0783	0.47	1	2026-03-30	0.4825	True	2026-03-30
vt	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_up_day_ratio_20	fixed_0.49	4	1.0	0.073	0.49	2	2026-03-30	0.5127	True	2026-03-30
vt	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_above_200dma_flag	top_10pct	5	1.0	0.0897	0.436	0	2026-03-30	0.4752	False	
vt	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60	top_10pct	4	1.0	0.088	0.4318	0	2026-03-30	0.432	False	
vt	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_sma_gap_120	fixed_0.49	4	1.0	0.0791	0.49	2	2026-03-30	0.5116	True	2026-03-30
vt	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	4	1.0	0.0866	0.49	1	2026-03-30	0.4999	True	2026-03-30
