model_name	direction	bucket_pct	avg_bucket_return	avg_hit_rate	min_fold_excess_return	max_fold_excess_return
atr_pct_20	bottom	5.0	0.005924	0.433333	-0.003058	0.021281
ret_60_plus_sma_gap_60	bottom	5.0	-0.008068	0.346667	-0.015029	0.009766
