asset_key	horizon_days	upper_barrier	lower_barrier	validation_f1	validation_bal_acc	test_f1	test_bal_acc	headline_score	threshold	test_positive_rate	rows
tlt	60	0.04	-0.02	0.43660629170638704	0.5016863406408094	0.45446009389671366	0.5	0.4692739299640438	0.485	1.0	5480
tlt	60	0.06	-0.03	0.38506417736289383	0.501890359168242	0.3912037037037037	0.5	0.43368335287088444	0.433	1.0	4628
tlt	60	0.08	-0.04	0.3068783068783069	0.5973029163818637	0.26523297491039427	0.5276913875598086	0.385506559245948	0.486	0.34392523765563965	3558
tlt	40	0.06	-0.03	0.3350785340314136	0.5728920409771474	0.25870646766169153	0.46487603305785125	0.3672503078860294	0.35	0.4853195250034332	3856
