model_name	rule_name	recent_selected_count	latest_date	latest_score	latest_selected	cutoff	last_selected_date
binary_top12_5	top_12_5pct	6	2026-03-17	0.492579	False	0.512625	2026-02-25
binary_top10	top_10pct	6	2026-03-17	0.492579	False	0.514794	2026-02-25
