model_name	rule_name	trade_count	hit_rate	avg_return	recent_selected_count	last_selected_date	cutoff
binary_top12_5	top_12_5pct	11	0.818182	0.191406	6	2026-02-25	0.512625
binary_top10	top_10pct	10	0.7	0.146742	6	2026-02-25	0.514794
