model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
model	top_10pct	0.5148	10	0.1003	0.6344	0.13	0.7	0.1467	-0.0766
model	top_12_5pct	0.5126	11	0.1251	0.5862	0.1498	0.8182	0.1914	-0.0717
model	top_15pct	0.5106	12	0.1499	0.5899	0.1806	0.75	0.1806	-0.3099
model	top_17_5pct	0.5091	12	0.1758	0.6012	0.2159	0.75	0.1881	-0.3099
model	top_20pct	0.5075	12	0.2006	0.5806	0.2379	0.75	0.1863	-0.3099
