name	feature_count	rows	validation_corr	test_corr	validation_top15_avg_return	validation_bottom15_avg_return	test_top15_avg_return	test_bottom15_avg_return	sign_match	preferred_direction
ret_60_plus_sma_gap_60	21	6799	0.03548993586400322	-0.07793070245862843	0.1121207273418651	0.09804107251071696	0.029725588140401757	0.052581763744105336	False	bottom
sma_gap_60	20	6800	0.03610099844514577	-0.07490134543435112	0.11363959165591829	0.10124890260788125	0.029530787791384284	0.05199002851721863	False	bottom
ret_60	20	6799	0.04344644985453955	-0.09038007057925634	0.11423127925356123	0.09490322538338992	0.028715543905907696	0.051864206011869994	False	bottom
ret_60_plus_sma_gap_60_plus_atr_pct_20	22	6799	0.036102119453233154	-0.10286744954375111	0.1261751368815505	0.09509280322978458	0.021863859467053017	0.05139800718929213	False	bottom
ret_60_plus_sma_gap_60_plus_distance_to_252_high	22	6608	0.012427899715265072	-0.05386360258205776	0.11363834319189815	0.08662858009725559	0.027815798112529322	0.04748893817606368	False	bottom
atr_pct_20	20	6839	0.03503245883637324	-0.009099786154857424	0.10302640452568185	0.058448878259116564	0.031416573466624007	0.041615180539914635	False	bottom
baseline	19	6839	0.036355364725597486	-0.0003362773071809118	0.10239355558363145	0.06874616960433982	0.02848675322325996	0.04045354364502678	False	bottom
distance_to_252_high	20	6608	-0.009860772641218422	0.024259575193758848	0.07920205847641404	0.07457188050840159	0.03253579603657522	0.03826414107593711	False	bottom
