model_name	direction	bucket_pct	recent_selected_count	latest_selected	last_selected_date	min_fold_excess_return	max_fold_excess_return	cutoff
distance_to_252_high	bottom	10.0	6	False	2026-02-19	0.004882	0.073657	-9.4e-05
ret_60_plus_sma_gap_60	bottom	10.0	0	False		-0.01237	0.076714	0.001591
