model_name	direction	bucket_pct	avg_bucket_return	avg_hit_rate	min_fold_excess_return	max_fold_excess_return
ret_60_plus_sma_gap_60	bottom	10.0	0.043918	0.622807	-0.01237	0.076714
distance_to_252_high	bottom	10.0	0.058442	0.654545	0.004882	0.073657
