model_name	direction	bucket_pct	recent_rows	recent_selected_count	latest_date	latest_predicted_return	latest_selected	cutoff	last_selected_date
distance_to_252_high	bottom	10.0	60	6	2026-03-26	0.023583	False	-9.4e-05	2026-02-19
ret_60_plus_sma_gap_60	bottom	10.0	60	0	2026-03-26	0.038605	False	0.001591	
