row_type	promotion_bucket	owner_side	promotion_verdict	verdict_confidence	case_count	matured_cases	avg_future_return_60	hit_rate_60	bullish_pocket_case_count	bullish_pocket_matured_count	bullish_pocket_avg_future_return_60	bullish_pocket_hit_rate_60	latest_date	note
bucket	both_selected	shared	inconclusive	context_only	15	15	0.1659	0.8	14	14	0.1812	0.8571	2026-01-21	Shared-conviction or shared-idle bucket. This is context, not promotion evidence.
bucket	live_selected_shadow_idle	live	supports_live	moderate	548	490	0.1317	0.5837	317	259	0.2195	0.6641	2026-04-16	When live diverges in its own favor, realized outcomes still back the official live line. 259 matured rows happened inside the bullish pocket.
bucket	live_blocked_shadow_selected	challenger	supports_challenger	low	5	5	0.2462	1.0	4	4	0.2728	1.0	2025-09-05	Challenger-only divergence is working well enough to add promotion pressure. 4 matured rows happened inside the bullish pocket.
bucket	both_idle	shared	inconclusive	context_only	382	382	0.126	0.6675	203	203	0.1667	0.6897	2025-09-03	Shared-conviction or shared-idle bucket. This is context, not promotion evidence.
bucket	live_model_ready_shadow_not_ready	shared	inconclusive	context_only	310	308	0.0761	0.5649	224	222	0.1056	0.5901	2026-04-17	Shared-conviction or shared-idle bucket. This is context, not promotion evidence.
rollup	promotion_case_rollup	aggregate	supports_challenger	low	495	495	-0.1145	-0.4163	263	263				live_cases=490, challenger_cases=5, live_avg=0.1317, challenger_avg=0.2462, live_hit=0.5837, challenger_hit=1.0000, live_bullish_pocket_cases=259, challenger_bullish_pocket_cases=4. Directional sample is still thin, so treat this as challenger pressure rather than a switch-ready call.
