date	close	live_signal	live_raw_model_signal	live_buy_point_ok	buy_point_warnings	live_probability	live_cutoff	live_confidence_gap	live_rule_selected	live_rule_cutoff	rule_name	live_percentile_rank	model_rationale	rule_rationale	ret_20	ret_60	drawdown_20_x	sma_gap_20	volume_vs_20	rsi_14	sma_gap_60	shadow_signal	shadow_raw_model_signal	shadow_buy_point_ok	shadow_probability	shadow_cutoff	shadow_confidence_gap	shadow_rule_selected	shadow_rule_cutoff	shadow_percentile_rank	line_id	label_mode	execution_rule	above_200dma_flag	slope_60	drawdown_20_y	above_200dma	slope_60_positive	bullish_pocket	bullish_pocket_confirmed	bullish_pocket_label	drawdown_20	live_selected	shadow_selected	live_model_ready	shadow_model_ready	live_blocked	shadow_blocked	live_state	shadow_state	comparison_state	comparison_note	confidence_gap_delta	divergence_case	comparison_owner	shadow_criteria_pass_count	shadow_criteria_pass_rate	shadow_overnight_gap	shadow_volume_vs_20	shadow_range_z_20	shadow_intraday_return	shadow_breakout_20	shadow_overnight_gap_pass	shadow_volume_vs_20_pass	shadow_range_z_20_pass	shadow_intraday_return_pass	shadow_breakout_20_pass
2023-06-14	69.12	no_entry	weak_bullish	False	近 20 日漲幅已偏大，容易落在追價區	0.4649	0.455	0.0099	False	0.5077	top_12.5pct_reference	0.4364	價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	0.0846	0.1992	-0.0651	0.0175	-0.4448	55.95		no_entry	no_entry	False	0.2	1.0	-0.8	False	1.0	0.2	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0030271233948322577	-0.0650615114126681	True	True	True	True	above_200dma_and_slope_60_positive	-0.0651	False	False	True	False	True	False	blocked	idle	blocked_idle	Live clears the model only while shadow stays idle.	-0.8099	live_model_ready_shadow_not_ready	shared	1	0.2	-0.0049	-0.4448	-0.7452	0.0234	0.0	False	False	False	True	False
2023-06-15	68.82	weak_bullish	weak_bullish	True		0.4575	0.455	0.0025	False	0.5077	top_12.5pct_reference	0.3205	價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	0.0601	0.1738	-0.0691	0.0101	-0.4007	47.92		no_entry	no_entry	False	0.2	1.0	-0.8	False	1.0	0.2	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.002670797779015155	-0.06911944527604466	True	True	True	True	above_200dma_and_slope_60_positive	-0.0691	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.8025	live_selected_shadow_idle	live	1	0.2	-0.0077	-0.4007	-1.3386	0.0034	0.0	False	False	False	True	False
2023-06-16	67.66	weak_bullish	weak_bullish	True		0.459	0.455	0.004	False	0.5077	top_12.5pct_reference	0.3429	量能略高於 20 日均量 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	0.0013	0.1631	-0.0848	-0.0069	0.6261	30.17		no_entry	no_entry	False	0.6	1.0	-0.4	False	1.0	0.6	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0025187581838785594	-0.08480990960617443	True	True	True	True	above_200dma_and_slope_60_positive	-0.0848	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.404	live_selected_shadow_idle	live	3	0.6	0.0193	0.6261	2.6112	-0.0355	0.0	True	True	True	False	False
2023-06-20	66.9	no_entry	no_entry	True		0.4439	0.455	-0.0111	False	0.5077	top_12.5pct_reference	0.1542	近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數低於 threshold，規則上偏向先不進場	-0.0186	0.0906	-0.0951	-0.0172	-0.3255	33.29		no_entry	no_entry	False	0.0	1.0	-1.0	False	1.0	0.0	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0014461138128142685	-0.09508993304852875	True	True	True	True	above_200dma_and_slope_60_positive	-0.0951	False	False	False	False	False	False	idle	idle	idle_idle	Both live and shadow stay idle.	-0.9889		shared	0	0.0	-0.005	-0.3255	-0.3688	-0.0062	0.0	False	False	False	False	False
2023-06-21	65.8	no_entry	no_entry	True		0.4462	0.455	-0.0088	False	0.5077	top_12.5pct_reference	0.1783	近 20 日已有一段像樣回檔 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數低於 threshold，規則上偏向先不進場	-0.0065	0.0759	-0.11	-0.033	-0.4305	39.95		no_entry	no_entry	False	0.0	1.0	-1.0	False	1.0	0.0	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0012187751024100636	-0.10996885188500119	True	True	True	True	above_200dma_and_slope_60_positive	-0.11	False	False	False	False	False	False	idle	idle	idle_idle	Both live and shadow stay idle.	-0.9912		shared	0	0.0	-0.0022	-0.4305	-0.313	-0.0142	0.0	False	False	False	False	False
2023-06-22	66.25	no_entry	no_entry	True		0.4422	0.455	-0.0128	False	0.5077	top_12.5pct_reference	0.1405	近 20 日已有一段像樣回檔 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數低於 threshold，規則上偏向先不進場	0.0036	0.108	-0.1039	-0.0266	-0.5186	37.65		no_entry	no_entry	False	0.2	1.0	-0.8	False	1.0	0.2	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0017099504443522631	-0.10388205428748132	True	True	True	True	above_200dma_and_slope_60_positive	-0.1039	False	False	False	False	False	False	idle	idle	idle_idle	Both live and shadow stay idle.	-0.7872		shared	1	0.2	-0.0041	-0.5186	-1.0915	0.011	0.0	False	False	False	True	False
2023-06-23	65.28	no_entry	no_entry	True		0.4386	0.455	-0.0164	False	0.5077	top_12.5pct_reference	0.1107	近 20 日已有一段像樣回檔 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數低於 threshold，規則上偏向先不進場	-0.0188	0.1012	-0.117	-0.04	-0.2881	34.3		no_entry	no_entry	False	0.0	1.0	-1.0	False	1.0	0.0	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0016068955260113574	-0.11700259015518125	True	True	True	True	above_200dma_and_slope_60_positive	-0.117	False	False	False	False	False	False	idle	idle	idle_idle	Both live and shadow stay idle.	-0.9836		shared	0	0.0	-0.0121	-0.2881	-1.0367	-0.0026	0.0	False	False	False	False	False
2023-06-26	65.45	no_entry	no_entry	True		0.4422	0.455	-0.0128	False	0.5077	top_12.5pct_reference	0.1399	近 20 日已有一段像樣回檔 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數低於 threshold，規則上偏向先不進場	-0.0598	0.0301	-0.1147	-0.0345	-0.1886	39.61		no_entry	no_entry	False	0.2	1.0	-0.8	False	1.0	0.2	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0004936133746424135	-0.11470314245812217	True	True	True	True	above_200dma_and_slope_60_positive	-0.1147	False	False	False	False	False	False	idle	idle	idle_idle	Both live and shadow stay idle.	-0.7872		shared	1	0.2	0.0054	-0.1886	-0.7826	-0.0027	0.0	True	False	False	False	False
2023-06-27	66.79	no_entry	no_entry	True		0.4413	0.455	-0.0137	False	0.5077	top_12.5pct_reference	0.1319	近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數低於 threshold，規則上偏向先不進場	-0.0966	0.0586	-0.0683	-0.0095	0.1249	46.94		no_entry	no_entry	False	0.4	1.0	-0.6	False	1.0	0.4	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0009498516940633787	-0.06834985854385736	True	True	True	True	above_200dma_and_slope_60_positive	-0.0683	False	False	False	False	False	False	idle	idle	idle_idle	Both live and shadow stay idle.	-0.5863		shared	2	0.4	-0.0028	0.1249	1.3712	0.0233	0.0	False	False	True	True	False
2023-06-28	67.07	no_entry	no_entry	True		0.4392	0.455	-0.0158	False	0.5077	top_12.5pct_reference	0.1141	量能略高於 20 日均量 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數低於 threshold，規則上偏向先不進場	-0.0644	0.1115	-0.0304	-0.002	0.6519	50.04		no_entry	no_entry	False	0.6	1.0	-0.4	False	1.0	0.6	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.001762360155030344	-0.03035996139528471	True	True	True	True	above_200dma_and_slope_60_positive	-0.0304	False	False	False	False	False	False	idle	idle	idle_idle	Both live and shadow stay idle.	-0.3842		shared	3	0.6	-0.0171	0.6519	0.5166	0.0216	0.0	False	True	True	True	False
