model_name	rule_name	role	operator_score	recent_selected_count	latest_date	latest_selected	cutoff
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_10pct	headline	4.96	0	2026-03-17	False	0.4953
ret_60_plus_sma_gap_60_plus_above_200dma_flag	fixed_0.49	headline	4.65	0	2026-03-17	False	0.49
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_12_5pct	headline	4.59	0	2026-03-17	False	0.4889
